Business Name,Business ID,Review Count,Business Rating,Price Range
Applebee's Grill + Bar,Ip-yx5mUB776EGUuXbouxA,25,2.5,$$
Applebee's Grill + Bar,y0JW90I52NbdY-njrBTS4Q,38,2.5,$$
Thai Thai Bistro,M-4XBB8q15xBAYdWCNSq3A,46,3.0,$$
Villa Valenti Pub,Pw1UAZJMK6YoRy-HhAAfjg,16,3.5,$$
Bacchus,cnSXX4gGaEGy75BElLiSDw,120,3.5,$$
Melly's Pub,Z1FV-ALvlT_mlN7lzyoIPA,1,4.0,
Chili's,8CGoCdLM-SU9VAS-dj5ZHQ,41,2.0,$$
Roy's Caribbean Restaurant,hf2CELJTrcYi1Pkc-yZG0g,2,2.5,
Deacon Blues,jznPYUcl1Xd7uS71uXIOCw,17,3.5,$$
Roy's Caribbean Restaurant & Bar,l0eJSm4JyVi9IKdBGA_TRg,1,2.0,
BL's Tavern,7FsrBiBtvOuyjU4cokRRGg,6,2.5,
Clinton's Ditch,9tzrkaubVHz4MHw2_hQ92g,42,3.0,$$
Applebee's Grill + Bar,mQuh0I7VRxdvIrM0DcQtbw,24,2.0,$$
Apostrophe,fP2d44KEjC2Ek5R-9W9gYg,11,3.0,$$
99 Restaurants,GKQrTtczMCB5EpCrpkXLCA,30,3.5,$$
212 Marketplace,7woieaHbZbKodET0Emszqg,4,3.0,
Dave & Buster's - Temporarily Closed,sMA2rWk7e3AQptWQf6v6RA,118,2.5,$$
